zone	easting	northing	name
16T	431497.92	5190892.04	tsca70117.2
16T	431506.46	5190885.82	tsca68217.2
16T	431353.67	5190774.34	acsa32017.3
16T	431385.16	5190810.04	acsa45817.3
16T	431461.39	5190806.27	tsca34917.3
16T	431497.73	5190877.55	tsca69217.3
16T	431538.09	5190923.07	tsca69817.3
16T	431350.28	5190865.53	tsca41417.4
16T	431452.37	5190892.66	tsca95017.4
16T	431370.75	5190864.64	tsca40117.5
16T	431470.21	5190833.44	tsca33117.5
16T	431475.66	5190868.24	acsa90817.5
16T	431353.78	5190816.61	tsca37417.6
16T	431440.65	5190889.95	pigl96917.6
16T	431472.38	5190912.55	tsca62117.6
16T	431491.56	5190889.52	tsca58017.6
16T	431364.4	5190872.31	tsca40417.7
16T	431469.29	5190821.79	acsa017.7
16T	431507.6	5190850.7	tsca63217.7
16T	431332.4	5190864.2	tsca617.8
16T	431471.17	5190838.61	tsca38217.8
16T	431384.46	5190891.78	abba80117.9
16T	431508.99	5190921.08	osvi58417.9
16T	431516.71	5190890.24	tsca53017.9
16T	431352.63	5190863.01	tsca41218
16T	431477.45	5190895.66	tsca59018
16T	431440.94	5190889.12	tsca46718.1
16T	431481	5190814.41	tsca36318.1
16T	431470.22	5190903.51	tsca60418.1
16T	431500.55	5190858.26	tsca52018.1
16T	431506.25	5190872.62	tsca66518.1
16T	431330.07	5190862.18	osvi1218.2
16T	431352.94	5190864.25	belu41118.2
16T	431405.94	5190904.25	tsca94818.2
16T	431437.96	5190911.46	abba40818.3
16T	431498.42	5190876.78	tsca69618.3
16T	431518.12	5190893.8	tsca53118.3
16T	431445.31	5190896.14	tsca47318.4
16T	431332.21	5190832.49	osvi25418.5
16T	431432.78	5190882.47	tsca46418.6
16T	431532.47	5190938.99	acsa65618.6
16T	431329.29	5190865.72	tsca818.7
16T	431423.31	5190798.39	acsa28718.7
16T	431424.55	5190869.52	acsa43418.7
16T	431503.48	5190853.77	belu51518.7
16T	431492.92	5190942	tsca61018.7
16T	431479.5	5190915.33	tsca61818.8
16T	431482.1	5190933.26	tsca74518.8
